City,State,Population,Area
Bellevue,Washington,122363,32
Miramar,Florida,122041,29.5
Hampton,Virginia,137436,51.4
West Valley City,Utah,129480,35.6
Warren,Michigan,134056,34.4
Olathe,Kansas,125872,59.7
Columbia,South Carolina,129272,132.2
Thornton,Colorado,118772,34.8
Carrollton,Texas,119097,36.3
Midland,Texas,111147,72.1
Charleston,South Carolina,120083,109
Waco,Texas,124805,89
Sterling Heights,Michigan,129699,36.5
Denton,Texas,113383,88
Cedar Rapids,Iowa,126326,70.8
New Haven,Connecticut,129779,18.7
Roseville,California,118788,36.2
Gainesville,Florida,124354,61.3
Visalia,California,124442,36.2
Coral Springs,Florida,121096,23.8
Thousand Oaks,California,126683,55
Elizabeth,New Jersey,124969,12.3
Stamford,Connecticut,122643,37.6
Concord,California,122067,30.5
Surprise,Arizona,117517,105.7
Lafayette,Louisiana,120623,49.2
Topeka,Kansas,127473,60.2
Kent,Washington,92411,28.6
Simi Valley,California,124237,41.5
Santa Clara,California,116468,18.4
Murfreesboro,Tennessee,108755,55.3
Hartford,Connecticut,124775,17.4
Athens,Georgia,115452,116.4
Victorville,California,115903,73.2
Abilene,Texas,117063,106.8
Vallejo,California,115942,30.7
Berkeley,California,112580,10.5
Norman,Oklahoma,110925,178.8
Allentown,Pennsylvania,118032,17.5
Evansville,Indiana,117429,44.2
Columbia,Missouri,108500,63.1
Odessa,Texas,99940,42
Fargo,North Dakota,105549,48.8
Beaumont,Texas,118296,82.8
Independence,Missouri,116830,77.6
Ann Arbor,Michigan,113934,27.8
El Monte,California,113475,9.6
Springfield,Illinois,116250,59.5
Round Rock,Texas,99887,34.1
Wilmington,North Carolina,106476,51.5
Arvada,Colorado,106433,35.1
Provo,Utah,112488,41.7
Peoria,Illinois,115007,48
Lansing,Michigan,114297,36
Downey,California,111772,12.4
Carlsbad,California,105328,37.7
Costa Mesa,California,109960,15.7
Miami Gardens,Florida,107167,18.2
Westminster,Colorado,106114,31.6
Clearwater,Florida,107685,25.6
Fairfield,California,105321,37.4
Rochester,Minnesota,106769,54.6
Elgin,Illinois,108188,37.2
Temecula,California,100097,30.2
West Jordan,Utah,103712,32.5
Inglewood,California,109673,9.1
Richardson,Texas,99223,28.6
Lowell,Massachusetts,106519,13.6
Gresham,Oregon,105594,23.2
Antioch,California,102372,28.3
Cambridge,Massachusetts,105162,6.4
High Point,North Carolina,104371,53.8
Billings,Montana,104170,43.4
Manchester,New Hampshire,109565,33.1
Murrieta,California,103466,33.6
Centennial,Colorado,100377,28.7
Richmond,California,103701,30.1
Ventura,California,106433,21.7
Pueblo,Colorado,106595,53.6
Pearland,Texas,91252,47.5
Waterbury,Connecticut,110366,28.5
West Covina,California,106098,16
North Charleston,South Carolina,97471,76.6
Everett,Washington,103019,33.4
College Station,Texas,93857,49.6
Palm Bay,Florida,103190,65.7
Pompano Beach,Florida,99845,24
Boulder,Colorado,97385,25.7
Norwalk,California,105549,9.7
West Palm Beach,Florida,99919,55.3
Broken Arrow,Oklahoma,98850,61.6
Daly City,California,101123,7.7
Sandy Springs,Georgia,93853,39
Burbank,California,103340,17.3
Green Bay,Wisconsin,104057,45.5
Santa Maria,California,99553,22.8
Wichita Falls,Texas,104553,72.1
Lakeland,Florida,97422,74.4
Clovis,California,95631,23.3
Lewisville,Texas,95290,42.5
Tyler,Texas,96900,54.4
El Cajon,California,99478,14.4
San Mateo,California,97207,15.9
Rialto,California,99171,22.4
Edison,New Jersey,99967,30.6
Davenport,Iowa,99685,62.9
Hillsboro,Oregon,91611,24.3
Woodbridge,New Jersey,99585,24.5
Las Cruces,New Mexico,97618,76.3
South Bend,Indiana,101168,41.5
Vista,California,93834,18.7
Greeley,Colorado,92889,30
Davie,Florida,91992,35.7
San Angelo,Texas,93200,58.2
Jurupa Valley,California,0,43.5
Renton,Washington,90927,23.5
